Time_Hours,Normalized_Power,Original_Power
0.0,0.59390193,57.75772
0.009316770186335404,0.6039271,58.432213
0.018633540372670808,0.6457696,61.247375
0.027950310559006212,0.625746,59.90019
0.037267080745341616,0.57759875,56.660843
0.04658385093167702,0.5654953,55.846523
0.055900621118012424,0.597314,57.987286
0.06521739130434782,0.59266835,57.674725
0.07453416149068323,0.62669474,59.96402
0.08385093167701864,0.6379988,60.72456
0.09316770186335405,0.6267786,59.96966
0.10248447204968944,0.57129246,56.236557
0.11180124223602485,0.5841515,57.10171
0.12111801242236025,0.5959023,57.892307
0.13043478260869565,0.5737145,56.39951
0.13975155279503107,0.6059092,58.56557
0.14906832298136646,0.6432941,61.080826
0.15838509316770186,0.6133763,59.06796
0.16770186335403728,0.63498044,60.521484
0.17701863354037267,0.6423014,61.014034
0.1863354037267081,0.6533441,61.75699
0.1956521739130435,0.6066076,58.61256
0.20496894409937888,0.62421834,59.79741
0.2142857142857143,0.6406995,60.90626
0.2236024844720497,0.6432941,61.080826
0.2329192546583851,0.61647063,59.276142
0.2422360248447205,0.6216319,59.623394
0.25155279503105593,0.60557973,58.543404
0.2608695652173913,0.6152572,59.194504
0.2701863354037267,0.64080215,60.913166
0.27950310559006214,0.60826707,58.724205
0.2888198757763975,0.60303605,58.372265
0.2981366459627329,0.626945,59.980858
0.30745341614906835,0.632694,60.367653
0.3167701863354037,0.60303605,58.372265
0.32608695652173914,0.57852405,56.723095
0.33540372670807456,0.60310996,58.377235
0.3447204968944099,0.59205085,57.63318
0.35403726708074534,0.5405318,54.16698
0.36335403726708076,0.49507156,51.108414
0.3726708074534162,0.52511066,53.129444
0.38198757763975155,0.54419714,54.41358
0.391304347826087,0.50018805,51.452652
0.4006211180124224,0.5016565,51.551445
0.40993788819875776,0.47201908,49.55744
0.4192546583850932,0.4646057,49.05867
0.4285714285714286,0.4686543,49.331062
0.43788819875776397,0.46843946,49.316605
0.4472049689440994,0.4923449,50.92496
0.4565217391304348,0.48345056,50.326553
0.4658385093167702,0.45984423,48.73832
0.4751552795031056,0.48061776,50.135963
0.484472049689441,0.5041866,51.721672
0.4937888198757764,0.49297914,50.967636
0.5031055900621119,0.47088054,49.480843
0.5124223602484472,0.47201908,49.55744
0.5217391304347826,0.5487597,54.72055
0.5310559006211181,0.49988893,51.432526
0.5403726708074534,0.47008514,49.427326
0.5496894409937888,0.5029838,51.64075
0.5590062111801243,0.4669465,49.21616
0.5683229813664596,0.47628257,49.844288
0.577639751552795,0.4751918,49.770905
0.5869565217391305,0.45890602,48.675194
0.5962732919254659,0.4644289,49.046776
0.6055900621118012,0.4536181,48.319427
0.6149068322981367,0.5250691,53.126648
0.6242236024844721,0.50635946,51.867863
0.6335403726708074,0.4751918,49.770905
0.6428571428571429,0.48497695,50.42925
0.6521739130434783,0.4215264,46.160294
0.6614906832298136,0.44725865,47.891563
0.6708074534161491,0.47943592,50.056446
0.6801242236024845,0.5043478,51.732517
0.6894409937888198,0.513599,52.35494
0.6987577639751553,0.53350383,53.694138
0.7080745341614907,0.5029838,51.64075
0.717391304347826,0.48388746,50.355946
0.7267080745341615,0.48993787,50.76302
0.7360248447204969,0.5284579,53.354645
0.7453416149068324,0.5300386,53.460995
0.7546583850931677,0.5233614,53.011753
0.7639751552795031,0.5041866,51.721672
0.7732919254658386,0.5041866,51.721672
0.782608695652174,0.5176471,52.627296
0.7919254658385093,0.53416145,53.73838
0.8012422360248448,0.5299539,53.455296
0.8105590062111802,0.50211984,51.582623
0.8198757763975155,0.4816269,50.203857
0.829192546583851,0.48920053,50.71341
0.8385093167701864,0.52281576,52.975044
0.8478260869565217,0.5176494,52.627453
0.8571428571428572,0.52209455,52.92652
0.8664596273291926,0.50943017,52.07446
0.8757763975155279,0.49541396,51.13145
0.8850931677018634,0.45469844,48.392113
0.8944099378881988,0.47165215,49.532753
0.9037267080745341,0.5302857,53.477623
0.9130434782608696,0.48828158,50.651585
0.922360248447205,0.47590655,49.818993
0.9316770186335404,0.4858985,50.49125
0.9409937888198758,0.46981364,49.40906
0.9503105590062112,0.48993787,50.76302
0.9596273291925466,0.46434784,49.04132
0.968944099378882,0.43713278,47.21029
0.9782608695652174,0.4913896,50.86069
0.9875776397515528,0.4678602,49.277634
0.9968944099378882,0.48388746,50.355946
1.0062111801242237,0.48388746,50.355946
1.015527950310559,0.4698457,49.411217
1.0248447204968945,0.4661524,49.162735
1.03416149068323,0.4218487,46.18198
1.0434782608695652,0.3518894,41.47512
1.0527950310559007,0.3640336,42.29218
1.0621118012422361,0.3767181,43.14559
1.0714285714285714,0.38117647,43.44555
1.0807453416149069,0.35230523,41.503098
1.0900621118012424,0.38401878,43.63678
1.0993788819875776,0.36662748,42.466698
1.108695652173913,0.35252643,41.517975
1.1180124223602486,0.34383076,40.93293
1.1273291925465838,0.3441795,40.956398
1.1366459627329193,0.35314283,41.55945
1.1459627329192548,0.4182922,45.942696
1.15527950310559,0.4437838,47.657772
1.1645962732919255,0.40471038,45.028915
1.173913043478261,0.41761112,45.896873
1.1832298136645962,0.39660227,44.4834
1.1925465838509317,0.37227798,42.846863
1.2018633540372672,0.36009535,42.027214
1.2111801242236024,0.38594595,43.76644
1.220496894409938,0.36880308,42.613068
1.2298136645962734,0.37559846,43.070263
1.2391304347826086,0.40453357,45.017017
1.2484472049689441,0.400235,44.72781
1.2577639751552796,0.42616215,46.47219
1.2670807453416149,0.40593547,45.111336
1.2763975155279503,0.42086273,46.115643
1.2857142857142858,0.36778468,42.54455
1.295031055900621,0.39165685,44.150673
